Name, Link
'alligator', alligator.html
'alpaka',
'anakonda',
'antilope', antilope.html
'bison', bison.html
'blauer pfau', pfau.html
'capybara',
'chamäleon', chamaeleon.html
'dachs', dachs.html
'eisbär', eisbaer.html
'elefant', elefant.html
'emu', emu.html
'feuersalamander', feuersalamander.html
'giraffe', giraffe.html
'gorilla', gorilla.html
'grizzlybär', grizzlybaer.html
'gürteltier',
'jaguar',
'kaiserpinguin', kaiserpinguin.html
'koala', koala.html
'komodowaran', komodowaran.html
'krokodil', krokodil.html
'känguru', kaenguru.html
'leopard', leopard.html
'luchs', luchs.html
'löwe', loewe.html
'nilpferd', nilpferd.html
'orang-utan', orang-utan.html
'orca', orca.html
'panda', panda.html
'pfeilgiftfrosch',
'puma', puma.html
'reh', reh.html
'ringelrobbe', ringelrobbe.html
'rote eichhörnchen', eichhoernchen.html
'rotfuchs', rotfuchs.html
'schnabeltier', schnabeltier.html
'schnappschildkröte', schnappschildkroete.html
'schneeeule', schneeeule.html
'tapir', 
'tiger', tiger.html
'walross', walross.html
'weißkopfseeadler', weißkopfseeadler.html
'zebra', zebra.html
